doc_id,coder_id,flag,ATT,SN,PBC,SAT,BI
10967c36bf1c2575,coder_01,0,1,0,1,0,0
8a0c01693a06078e,coder_01,0,1,1,1,0,0
6b74a4410b565773,coder_01,0,1,0,1,0,0
80d2dc8fa02b035b,coder_01,0,1,0,0,0,1
e1c011e1c5824e2b,coder_01,0,1,0,0,0,1
595ae6c2ab317dd3,coder_01,0,1,0,1,0,0
f18e70af293c09d8,coder_01,0,1,0,1,0,0
ecfca42fecaa5dd8,coder_01,0,1,1,0,0,1
af424282153ec41c,coder_01,0,1,1,0,0,0
10c95b2b8ff1ace0,coder_01,0,1,0,1,1,0
4304de03891fe91e,coder_01,0,1,0,0,0,0
a00eec23dece34e7,coder_01,0,1,0,1,1,0
7e367c1c14cbf662,coder_01,0,1,1,1,0,0
7da7e72218c1dd7e,coder_01,0,1,0,0,0,0
fae669db48c269d1,coder_01,0,1,0,0,0,0
36cd2e9eeedab2f9,coder_01,0,1,0,1,0,1
c9d6f1eca8cab79a,coder_01,0,1,1,1,1,0
1e4bf232dc0b61e2,coder_01,0,1,0,1,0,1
1e409631373c5f58,coder_01,1,0,0,0,0,0
5aff31c545df15f8,coder_01,0,1,0,0,1,1
89a23a01e4184c6c,coder_01,0,1,0,0,0,1
87fcb9b3c99f519a,coder_01,0,1,1,1,1,0
34550fe0892a0744,coder_01,0,1,1,1,0,0
8fb1b7b7087d0795,coder_01,0,1,0,1,0,0
292d5f2242d01b88,coder_01,0,1,0,0,1,0
95a224b8e545520b,coder_01,0,1,0,1,0,0
a5bf5d227a7ccdc3,coder_01,1,0,0,0,0,0
37554fcd9230a43e,coder_01,0,1,1,1,1,0
34319ba146838fe1,coder_01,1,0,0,0,0,0
a255d0bb9b85dcca,coder_01,0,1,0,0,1,0
6e1eea5cc6c1271b,coder_01,0,1,0,1,0,1
81c4b2a4006aaff0,coder_01,0,1,0,1,0,0
ee2fe95dfd99208e,coder_01,0,1,0,1,0,0
eb8f8392134d87e6,coder_01,0,1,0,0,0,0
99e8e9a6a6ab6773,coder_01,0,1,1,1,0,0
43f4caf2a6c50ac1,coder_01,0,1,1,1,0,0
df55704a494f6716,coder_01,0,1,0,0,0,1
a14753f2981f0a64,coder_01,0,1,0,0,0,0
ad516d7560cf85d2,coder_01,1,0,0,0,0,0
8ce68d41db6a63f7,coder_01,0,1,0,1,0,0
a93593403079284d,coder_01,0,1,0,1,0,0
02179e601a8b6759,coder_01,0,1,0,0,0,0
a130352847cefa08,coder_01,0,1,0,1,0,0
003e9e28e07099b1,coder_01,0,1,0,1,1,1
2197c216e2c6cd0c,coder_01,0,1,0,1,0,0
587e34bbcdef9442,coder_01,0,1,0,1,0,1
d52b6cf8ef3b4a62,coder_01,1,0,0,0,0,0
a93b8cdf1ecb82a7,coder_01,1,0,0,0,0,0
ec3444b55485bba5,coder_01,0,1,0,1,0,1
0f86d5d3ec97b8cc,coder_01,0,1,1,0,0,0
030978aa0e1a51a0,coder_01,0,1,0,0,0,1
d452265f06cabae0,coder_01,0,1,1,1,0,1
b4019d5acb466522,coder_01,0,1,0,1,0,1
95b10c65994e8a5c,coder_01,0,1,1,0,0,0
b78299b18bd704ab,coder_01,0,1,0,1,0,0
e3d2a7ce3ffb85a7,coder_01,0,1,0,1,1,1
44e1b2f91eeaab8a,coder_01,0,1,1,1,1,1
6b1ad46dd8b84357,coder_01,0,1,0,1,1,0
08a746c571990f26,coder_01,0,1,1,1,1,0
89259700a8431f59,coder_01,0,1,0,0,0,1
2b51ec0af4a944c4,coder_01,0,1,0,1,0,1
f4b0a80f11465680,coder_01,0,1,1,1,1,0
947a0f839c2880fc,coder_01,0,1,0,1,0,1
ae2a70482d759436,coder_01,0,1,0,1,1,0
ead8b10fec8ba81d,coder_01,0,1,0,1,0,0
157226c5db056386,coder_01,0,1,0,0,1,0
64804e8210de0e09,coder_01,0,1,0,0,0,0
e907ee7342d795be,coder_01,0,1,0,1,0,1
d37aeb384e0e6645,coder_01,0,1,0,0,0,0
de183aa703cfc176,coder_01,0,1,0,0,1,0
76e376ae80698235,coder_01,0,1,1,1,0,0
759ecc798b6c8129,coder_01,0,1,0,0,0,0
9f40ed971b70aff0,coder_01,0,1,1,0,1,1
a5dfe25af9c62ea6,coder_01,0,1,1,0,1,1
291b71ecfb5da047,coder_01,1,0,0,0,0,0
b316776b79830b28,coder_01,0,1,0,1,0,0
1803225cfd93e040,coder_01,0,1,1,1,0,0
8eea54e37936b266,coder_01,0,1,1,1,0,1
2a60d60c8e4ad553,coder_01,1,0,0,0,0,0
f42b9e6503bd9da8,coder_01,0,1,0,0,0,1
a6af5eb2b68c91a0,coder_01,0,1,0,0,0,0
24cc98c9f10b68d1,coder_01,0,1,0,1,0,1
0e72af0aacecd747,coder_01,0,1,1,0,0,0
0132861d036dd8fc,coder_01,0,1,0,1,0,0
